rule,n,coverage_pct,ret20,dd20,wr20,rr20
dsa_pivot_pos_01<=0.3,22738,42.6,0.02017,-0.07752,0.5323,0.26
slope>0&vwap_dev<-2,3175,5.9,0.01954,-0.07708,0.5216,0.253
dsa<0.4&vwap_dev<-2,24865,46.6,0.01951,-0.07796,0.5283,0.25
dsa_pivot_pos_01<=0.4,27096,50.8,0.01887,-0.07735,0.5269,0.244
bb_pos_01<=0.15,8544,16.0,0.01984,-0.08288,0.5235,0.239
dsa_pivot_pos_01<=0.5,31636,59.3,0.0178,-0.07758,0.5229,0.229
signed_vwap_dev_pct<=-3,27283,51.1,0.01809,-0.0798,0.5214,0.227
signed_vwap_dev_pct<=-2,29255,54.8,0.01725,-0.07943,0.5177,0.217
bb_pos_01<=0.2,11092,20.8,0.01766,-0.08287,0.5179,0.213
bb_pos_01<=0.25,13968,26.2,0.01594,-0.08276,0.509,0.193
dsa<0.4&窄幅突破,340,0.6,0.01301,-0.07894,0.5235,0.165
bb_width_percentile<=0.2,11920,22.3,0.01172,-0.07767,0.4874,0.151
bb_width_percentile<=0.25,14381,26.9,0.01084,-0.07793,0.4873,0.139
bars_since_dir_change<=3,18846,35.3,0.01156,-0.08755,0.4897,0.132
bars_since_dir_change<=5,25683,48.1,0.01108,-0.08686,0.4902,0.128
bb_width_percentile<=0.3,16897,31.7,0.00952,-0.07894,0.4822,0.121
