regime_type,bucket,event_n,n,ret_20,mae_20,wr_20,rr_20,ret_40,mae_40,wr_40,rr_40
bb_width_percentile,low_vol,57,57,0.04881,-0.06177,0.5789,0.79,0.04511,-0.08253,0.614,0.547
bb_width_percentile,mid_vol,219,219,0.01029,-0.07099,0.516,0.145,0.02739,-0.10403,0.4703,0.263
bb_width_percentile,high_vol,36,36,0.08155,-0.05824,0.6944,1.4,0.00402,-0.11961,0.3611,0.034
rope_slope_atr_5,weak,104,104,0.01997,-0.06655,0.5385,0.3,0.02762,-0.09593,0.4808,0.288
rope_slope_atr_5,mid,108,108,0.0331,-0.06797,0.5648,0.487,0.03338,-0.098,0.5,0.341
rope_slope_atr_5,strong,104,104,0.02511,-0.06787,0.5577,0.37,0.02268,-0.11047,0.4808,0.205
bb_pos_01,mid,81,81,0.0646,-0.05168,0.6667,1.25,0.03579,-0.09007,0.4815,0.397
bb_pos_01,high,234,234,0.0127,-0.073,0.5128,0.174,0.02518,-0.10556,0.4872,0.239
signed_vwap_dev_pct,deep,357,357,0.01645,-0.07465,0.507,0.22,0.01909,-0.11038,0.4678,0.173
signed_vwap_dev_pct,medium,25,25,0.02246,-0.06592,0.56,0.341,0.03164,-0.08039,0.48,0.394
