symbol,entry_idx,entry_time,entry_price_raw,entry_price,stop_price,exit_idx,exit_time,exit_price_raw,exit_price,hold_bars,planned_hold_bars,exit_reason,ret,mae,rr,win,w_dsa_pivot_pos_01,w_DSA_DIR,w_signed_vwap_dev_pct,dsa_pivot_pos_01,signed_vwap_dev_pct,bars_since_dir_change,rope_dir,rope_slope_atr_5,bb_pos_01,bb_width_percentile
300875.SZ,8,2021-04-02 15:00:00,76.12,76.27223999999998,75.11,17,2021-04-16 15:00:00,75.11,74.922225,9,40,stop_loss,-0.017699952171327145,-0.03503555159780267,-0.5051997575068073,0.0,0.24297188755020005,-1.0,-1.096078095564316,0.1390644753476621,-7.626700981231769,1.0,1.0,,,
300875.SZ,54,2021-06-11 15:00:00,71.9,72.04379999999999,71.7,55,2021-06-15 15:00:00,71.7,71.52075,1,40,stop_loss,-0.007260166731904531,-0.004772096974340436,-1.5213787085514914,0.0,0.18866363260239974,-1.0,-19.965942400006472,0.24286305337194886,-11.357280591715979,1.0,1.0,0.13103214089722126,0.6867776907363817,0.19444444444444445
300875.SZ,169,2021-12-01 15:00:00,67.66,67.79531999999998,65.21,172,2021-12-06 15:00:00,65.21,65.046975,3,40,stop_loss,-0.040538860204509294,-0.05804707463582998,-0.6983790390616237,0.0,0.23807999999999993,-1.0,-17.180957922407767,0.2998278829604129,-7.715174240473352,0.0,1.0,0.2598328986703946,0.9684903283266197,0.14166666666666666
300875.SZ,222,2022-02-22 15:00:00,57.28,57.39455999999999,53.52,236,2022-03-14 15:00:00,53.52,53.38620000000001,14,40,stop_loss,-0.06983867460609477,-0.07656753532042047,-0.9121186193839634,0.0,0.0019900497512437385,-1.0,-33.423595851757035,0.19157894736842107,-5.831522505774476,0.0,1.0,0.4402427068739923,0.6510199708929761,0.925
300875.SZ,321,2022-08-02 15:00:00,39.24,39.318479999999994,37.46,322,2022-08-03 15:00:00,37.46,37.366350000000004,1,40,stop_loss,-0.049649172602806366,-0.05642334088194642,-0.8799403194980331,0.0,0.0657636784886829,-1.0,-37.41846617992433,0.1527283511269276,-16.72654504319938,0.0,1.0,0.11258310124828778,1.0,0.2916666666666667
300875.SZ,363,2022-09-30 15:00:00,35.37,35.44073999999999,33.46,375,2022-10-25 15:00:00,33.46,33.37635,12,40,stop_loss,-0.05824906590550844,-0.0683038785307527,-0.8527929476110606,0.0,0.05724932249322491,-1.0,-35.434619132225365,0.11487039563437917,-7.147764306717097,0.0,1.0,0.007539438509865515,0.9298196119263463,0.38333333333333336
300875.SZ,688,2024-02-23 15:00:00,22.79,22.835579999999993,20.48,728,2024-04-23 15:00:00,29.09,29.017275,40,40,hold_40,0.27070453213800616,-0.06505549672922659,4.161132352347261,1.0,0.07521042628292152,-1.0,-60.64098727809887,0.2700819672131147,-36.88618451558257,0.0,1.0,0.12915861597188144,0.48485592467176086,0.95
300875.SZ,796,2024-08-01 15:00:00,20.57,20.611139999999995,19.0,836,2024-09-30 15:00:00,30.05,29.974875,40,40,hold_40,0.4543045653952187,-0.07186113917037082,6.321978341007621,1.0,0.04914471897909319,-1.0,-54.28547157248166,0.18874868559411145,-17.021675081238598,0.0,1.0,0.1742466298540839,1.0,0.10833333333333334
300875.SZ,927,2025-02-20 15:00:00,28.82,28.877639999999992,26.8,953,2025-03-28 15:00:00,26.8,26.733,26,40,stop_loss,-0.07426645667720744,-0.07540920933982118,-0.9848459800517987,0.0,0.3961911874533234,1.0,-2.6228275598909976,0.23418063818280163,-18.356306154628022,0.0,1.0,0.11838813520469622,0.9755170797315469,0.10833333333333334
300875.SZ,976,2025-05-06 15:00:00,26.56,26.61311999999999,24.61,1016,2025-07-02 15:00:00,44.8,44.688,40,40,hold_40,0.6791717769280722,-0.041450232065988135,16.385234607295832,1.0,0.29761015683345793,1.0,-12.475091404192321,0.23342670401493934,-9.829376075525238,0.0,1.0,0.19300085757623195,0.7120468869233252,0.6916666666666667
300875.SZ,1085,2025-10-15 15:00:00,48.68,48.77735999999999,43.08,1112,2025-11-21 15:00:00,43.08,42.9723,27,40,stop_loss,-0.1190113610084677,-0.13689465768545053,-0.8693645392789969,0.0,0.5011363636363636,1.0,2.3613589714148024,0.2870175438596491,-17.077556863582508,2.0,1.0,0.5680078723633826,0.7896184490697999,0.49166666666666664
300875.SZ,1146,2026-01-12 15:00:00,45.39,45.48077999999999,43.34,1147,2026-01-13 15:00:00,43.34,43.23165000000001,1,40,stop_loss,-0.04945231810008492,-0.06026237896535608,-0.8206167587329121,0.0,0.4600378787878789,1.0,-5.7179270094726995,0.23542746113989646,-5.563661287636687,0.0,1.0,0.2674950948726999,1.0,0.1
