feature,feature_mode,present,coverage,nunique,mean,std
current_run_bars,research,1,1.0,20,13.933086,4.84885
dsa_bear_vwap_dev_pct,research,1,1.0,496,-12.02304,8.25656
dsa_bull_vwap_dev_pct,research,1,1.0,44,0.215849,1.019195
dsa_signed_vwap_dev_pct,research,1,1.0,538,-11.807191,8.626096
dsa_trend_aligned_vwap_dev_pct,research,1,1.0,538,12.238889,8.000596
last_confirmed_run_bars,research,1,1.0,139,60.079926,38.762409
prev_confirmed_down_bars,research,1,1.0,153,66.565056,54.224106
lh_hh_low_pos,research,1,0.9851,527,0.356408,0.081165
prev_confirmed_up_bars,research,1,0.9851,138,59.750943,37.011701
w_DSA_DIR,research,1,0.868,2,0.053533,0.999637
w_dsa_signed_vwap_dev_pct,research,1,0.868,467,-8.744973,15.743969
dsa_confirmed_pivot_pos_01,research,1,0.8383,441,0.360678,0.131968
w_prev_confirmed_down_bars,research,1,0.7974,90,23.967366,30.62448
w_prev_confirmed_up_bars,research,1,0.6041,56,22.218462,17.548125
w_dsa_confirmed_pivot_pos_01,research,1,0.1877,93,0.449009,0.249092
bars_since_dir_change,trade,1,1.0,13,1.126394,2.093443
bb_contract_streak,trade,1,1.0,20,3.152416,4.034189
bb_contracting,trade,1,1.0,2,0.568773,0.495709
bb_expand_streak,trade,1,1.0,30,3.065056,5.702547
bb_expanding,trade,1,1.0,2,0.418216,0.493725
channel_pos_01,trade,1,1.0,209,0.876017,0.176192
dir_consistent,trade,1,1.0,5,4.481413,0.649185
dist_to_rope_atr,trade,1,1.0,237,0.752035,0.352383
dsa_trade_breakdown_20,trade,1,1.0,1,0.0,0.0
dsa_trade_breakout_20,trade,1,1.0,2,0.111524,0.315073
dsa_trade_dist_to_high_01,trade,1,1.0,531,0.615748,0.054398
dsa_trade_dist_to_low_01,trade,1,1.0,532,0.384252,0.054398
dsa_trade_pos_01,trade,1,1.0,532,0.384252,0.054398
dsa_trade_range_width_pct,trade,1,1.0,538,0.406473,0.227087
is_consolidating,trade,1,1.0,1,0.0,0.0
position_in_structure,trade,1,1.0,538,0.670811,0.095455
range_break_up,trade,1,1.0,2,0.522305,0.499967
range_pos_01,trade,1,1.0,217,0.930917,0.11719
range_width_atr,trade,1,1.0,538,1.985783,0.205848
ret_1,trade,1,1.0,530,0.012361,0.040487
ret_3,trade,1,1.0,534,0.051675,0.068808
ret_5,trade,1,1.0,534,0.01192,0.087736
rope_dir,trade,1,1.0,1,1.0,0.0
rope_pivot_pos_01,trade,1,1.0,489,0.755457,0.222489
rope_slope_atr_5,trade,1,1.0,520,0.115673,0.340799
score_rope_total,trade,1,1.0,536,0.601578,0.150623
score_setup_total,trade,1,1.0,538,0.560532,0.080442
score_trend_total,trade,1,1.0,538,0.624192,0.089714
score_volume_total,trade,1,1.0,528,0.462615,0.244797
score_width_total,trade,1,1.0,538,0.470704,0.151291
trend_gap_10_20,trade,1,1.0,538,-0.020287,0.049001
vol_ratio_20,trade,1,1.0,538,1.500636,0.825711
vol_z_20,trade,1,1.0,538,0.898752,1.347082
w_factor_available,trade,1,1.0,2,0.85316,0.354276
bb_pos_01,trade,1,0.9926,460,0.694841,0.205526
bb_width_norm,trade,1,0.9926,534,0.229049,0.16913
bb_width_change_5,trade,1,0.987,531,0.000332,0.302674
bb_width_percentile,trade,1,0.9814,175,0.577136,0.275112
w_sample_count,trade,1,0.868,114,74.325482,43.981037
w_dsa_trade_dist_to_high_01,trade,1,0.8532,457,0.67236,0.164824
w_dsa_trade_dist_to_low_01,trade,1,0.8532,457,0.32764,0.164824
w_dsa_trade_pos_01,trade,1,0.8532,457,0.32764,0.164824
w_dsa_trade_range_width_pct,trade,1,0.8532,459,0.471837,0.238431
range_break_up_strength,trade,1,0.5223,281,0.205312,0.198194
