feature,best_bucket,direction,q20,q35,q50,q65,q80,hint_rule,sample_n
ret_5,Q5,higher_better,-0.033316,-0.012766,0.005855,0.024038,0.049869,ret_5 >= 0.0240,538
bb_width_norm,Q1,lower_better,0.106983,0.138731,0.171534,0.209411,0.324108,bb_width_norm <= 0.1387,534
range_width_atr,Q4,higher_better,1.856069,1.92556,1.981525,2.051289,2.124678,range_width_atr >= 2.0513,538
score_rope_total,Q5,higher_better,0.493116,0.513444,0.534766,0.611922,0.773432,score_rope_total >= 0.6119,538
w_dsa_trade_range_width_pct,Q1,lower_better,0.26786,0.337525,0.42437,0.524583,0.659848,w_dsa_trade_range_width_pct <= 0.3375,459
ret_3,Q1,lower_better,-0.008314,0.019006,0.044211,0.073682,0.11022,ret_3 <= 0.0190,538
bb_pos_01,Q3,middle_better,0.492732,0.587536,0.68127,0.784748,0.923303,0.5875 <= bb_pos_01 <= 0.7847,534
dsa_trade_range_width_pct,Q1,lower_better,0.218244,0.278543,0.351056,0.443063,0.584577,dsa_trade_range_width_pct <= 0.2785,538
score_setup_total,Q4,higher_better,0.490825,0.522804,0.556,0.592622,0.626735,score_setup_total >= 0.5926,538
trend_gap_10_20,Q5,higher_better,-0.043254,-0.018815,-0.004921,0.004303,0.014881,trend_gap_10_20 >= 0.0043,538
score_trend_total,Q5,higher_better,0.542448,0.600709,0.630419,0.665717,0.700814,score_trend_total >= 0.6657,538
ret_1,Q2,lower_better,-0.020938,-0.006657,0.011972,0.025426,0.045739,ret_1 <= -0.0067,538
rope_pivot_pos_01,Q2,lower_better,0.543724,0.708333,0.831676,0.899202,0.959578,rope_pivot_pos_01 <= 0.7083,538
score_width_total,Q5,higher_better,0.339178,0.431765,0.483091,0.540098,0.590809,score_width_total >= 0.5401,538
