feature,bucket,n,mean_value,ret20,dd20,wr20,rr20,is_best_bucket
position_in_structure,Q1,108,0.514781,0.02506,-0.07156,0.5278,2.959,0
position_in_structure,Q2,107,0.633546,0.01188,-0.09629,0.4673,3.541,0
position_in_structure,Q3,108,0.694512,0.02263,-0.06418,0.5833,8.374,1
position_in_structure,Q4,107,0.735263,0.06365,-0.06672,0.6636,5.371,0
position_in_structure,Q5,108,0.776207,0.04938,-0.07007,0.5926,3.838,0
score_trend_total,Q1,108,0.488292,0.09601,-0.07728,0.713,5.341,0
score_trend_total,Q2,107,0.581798,0.0524,-0.06927,0.5981,3.479,0
score_trend_total,Q3,108,0.632655,0.01932,-0.06834,0.5185,2.967,0
score_trend_total,Q4,107,0.677031,0.01037,-0.06318,0.5421,3.478,0
score_trend_total,Q5,108,0.741283,-0.00562,-0.09049,0.463,8.739,1
score_volume_total,Q1,108,0.145794,0.04821,-0.05341,0.6667,3.108,0
score_volume_total,Q2,107,0.28761,0.04829,-0.05496,0.6729,9.092,1
score_volume_total,Q3,108,0.440992,0.04538,-0.07646,0.5833,5.484,0
score_volume_total,Q4,107,0.628276,0.03112,-0.07874,0.486,3.457,0
score_volume_total,Q5,108,0.810317,-0.00037,-0.105,0.4259,2.846,0
score_width_total,Q1,108,0.240956,0.10837,-0.06756,0.75,5.368,0
score_width_total,Q2,107,0.401137,0.02966,-0.07697,0.5421,4.117,0
score_width_total,Q3,108,0.48545,0.02819,-0.07615,0.5926,3.82,0
score_width_total,Q4,107,0.555721,0.00531,-0.06588,0.5047,2.804,0
score_width_total,Q5,108,0.670399,0.0007,-0.08209,0.4444,7.861,1
score_rope_total,Q1,108,0.440991,0.06863,-0.07942,0.6204,4.094,0
score_rope_total,Q2,107,0.507011,0.04046,-0.06763,0.6449,3.262,0
score_rope_total,Q3,108,0.538264,0.02608,-0.06992,0.5556,4.101,0
score_rope_total,Q4,107,0.674167,0.02637,-0.06878,0.514,5.016,0
score_rope_total,Q5,108,0.847256,0.01099,-0.08284,0.5,7.393,1
score_setup_total,Q1,108,0.4525,0.08832,-0.06608,0.7315,3.949,0
score_setup_total,Q2,107,0.513122,0.03452,-0.06543,0.6168,4.243,0
score_setup_total,Q3,108,0.55639,0.05364,-0.06411,0.5278,6.116,0
score_setup_total,Q4,107,0.603313,0.01064,-0.08077,0.5421,7.89,1
score_setup_total,Q5,108,0.677292,-0.0148,-0.09229,0.4167,1.893,0
