rule_rank,slice_dim,slice_key,n,ret_20,mae_20,wr_20,rr_20
1,liquidity_bucket,all,12,0.04876,-0.02355,0.8333,2.07
1,trigger_type,expand_or_break,12,0.04876,-0.02355,0.8333,2.07
2,liquidity_bucket,all,12,0.04876,-0.02355,0.8333,2.07
2,trigger_type,expand_or_break,12,0.04876,-0.02355,0.8333,2.07
3,year,2025,12,0.04031,-0.03074,0.8333,1.311
3,liquidity_bucket,all,16,0.05821,-0.02971,0.875,1.96
3,env_bucket,better,11,0.08788,-0.02294,1.0,3.831
3,trigger_type,expand_only,16,0.05821,-0.02971,0.875,1.96
4,year,2025,12,0.04031,-0.03074,0.8333,1.311
4,liquidity_bucket,all,16,0.05821,-0.02971,0.875,1.96
4,env_bucket,better,11,0.08788,-0.02294,1.0,3.831
4,trigger_type,expand_only,16,0.05821,-0.02971,0.875,1.96
5,year,2025,12,0.04031,-0.03074,0.8333,1.311
5,liquidity_bucket,all,16,0.05821,-0.02971,0.875,1.96
5,env_bucket,better,11,0.08788,-0.02294,1.0,3.831
5,trigger_type,expand_only,16,0.05821,-0.02971,0.875,1.96
6,year,2025,12,0.04031,-0.03074,0.8333,1.311
6,liquidity_bucket,all,16,0.05821,-0.02971,0.875,1.96
6,env_bucket,better,11,0.08788,-0.02294,1.0,3.831
6,trigger_type,expand_only,16,0.05821,-0.02971,0.875,1.96
