rule_rank,stage,style_tag,trigger_type,sample_n,ret_20,wr_20,rr_20,ret_60,year_rr_std,rule_text
1,weekly_trigger,扩张型,expand_only,13,0.05546,0.8462,1.659,0.02537,0.0,"dsa_confirmed<=0.38, dsa_trade<=0.55, bb_width<=0.2, bb_pos in [0.4, 0.95], rope<=0.7, weekly=strict, trigger=expand_only"
2,weekly_trigger,扩张型,expand_only,28,0.05396,0.7857,1.015,0.08226,0.0225,"dsa_confirmed<=0.38, dsa_trade<=0.55, bb_width<=0.2, bb_pos in [0.4, 0.95], rope<=0.7, weekly=off, trigger=expand_only"
3,weekly_trigger,扩张型,expand_only,28,0.05396,0.7857,1.015,0.08226,0.0225,"dsa_confirmed<=0.38, dsa_trade<=0.55, bb_width<=0.2, bb_pos in [0.4, 0.95], rope<=0.7, weekly=soft, trigger=expand_only"
4,weekly_trigger,扩张型,expand_only,14,0.05034,0.7857,1.499,0.02682,0.0,"dsa_confirmed<=0.38, dsa_trade<=0.55, bb_width<=0.2, bb_pos in [0.4, 0.95], rope<=0.9, weekly=strict, trigger=expand_only"
5,trigger,扩张型,expand_only,32,0.04345,0.7188,0.703,0.05631,0.5009,"dsa_confirmed<=0.38, dsa_trade<=0.55, bb_width<=0.2, bb_pos in [0.4, 0.95], rope<=0.9, weekly=soft, trigger=expand_only"
6,weekly_trigger,扩张型,expand_only,32,0.04345,0.7188,0.703,0.05631,0.5009,"dsa_confirmed<=0.38, dsa_trade<=0.55, bb_width<=0.2, bb_pos in [0.4, 0.95], rope<=0.9, weekly=off, trigger=expand_only"
7,weekly_trigger,扩张型,expand_only,32,0.04345,0.7188,0.703,0.05631,0.5009,"dsa_confirmed<=0.38, dsa_trade<=0.55, bb_width<=0.2, bb_pos in [0.4, 0.95], rope<=0.9, weekly=soft, trigger=expand_only"
8,structure,埋伏型,none,14,-0.0155,0.4286,-0.241,-0.0756,0.0,"dsa_confirmed<=0.38, dsa_trade<=0.55, bb_width<=0.2, bb_pos in [0.5, 1.0], rope<=0.9, weekly=soft, trigger=none"
9,structure,埋伏型,none,18,-0.01604,0.3889,-0.259,-0.06959,0.0,"dsa_confirmed<=0.38, dsa_trade<=0.55, bb_width<=0.2, bb_pos in [0.4, 1.0], rope<=0.9, weekly=soft, trigger=none"
10,trigger,埋伏型,none,17,-0.02162,0.3529,-0.335,-0.07463,0.0,"dsa_confirmed<=0.38, dsa_trade<=0.55, bb_width<=0.2, bb_pos in [0.4, 0.95], rope<=0.9, weekly=soft, trigger=none"
11,structure,埋伏型,none,17,-0.02162,0.3529,-0.335,-0.07463,0.0,"dsa_confirmed<=0.38, dsa_trade<=0.55, bb_width<=0.2, bb_pos in [0.4, 0.9], rope<=0.9, weekly=soft, trigger=none"
12,weekly_trigger,埋伏型,none,17,-0.02162,0.3529,-0.335,-0.07463,0.0,"dsa_confirmed<=0.38, dsa_trade<=0.55, bb_width<=0.2, bb_pos in [0.4, 0.95], rope<=0.9, weekly=off, trigger=none"
13,weekly_trigger,埋伏型,none,17,-0.02162,0.3529,-0.335,-0.07463,0.0,"dsa_confirmed<=0.38, dsa_trade<=0.55, bb_width<=0.2, bb_pos in [0.4, 0.95], rope<=0.9, weekly=soft, trigger=none"
14,weekly_filter,埋伏型,none,17,-0.02162,0.3529,-0.335,-0.07463,0.0,"dsa_confirmed<=0.38, dsa_trade<=0.55, bb_width<=0.2, bb_pos in [0.4, 0.95], rope<=0.9, weekly=soft, trigger=none"
15,structure,埋伏型,none,13,-0.02274,0.3846,-0.335,-0.08266,0.0,"dsa_confirmed<=0.38, dsa_trade<=0.55, bb_width<=0.2, bb_pos in [0.5, 0.9], rope<=0.9, weekly=soft, trigger=none"
16,structure,埋伏型,none,16,-0.0285,0.3125,-0.441,-0.06002,0.0,"dsa_confirmed<=0.38, dsa_trade<=0.45, bb_width<=0.18, bb_pos in [0.4, 0.95], rope<=0.9, weekly=soft, trigger=none"
17,structure,埋伏型,none,16,-0.0285,0.3125,-0.441,-0.06002,0.0,"dsa_confirmed<=0.38, dsa_trade<=0.55, bb_width<=0.18, bb_pos in [0.4, 0.95], rope<=0.9, weekly=soft, trigger=none"
18,structure,埋伏型,none,15,-0.03116,0.3333,-0.452,-0.0958,0.0,"dsa_confirmed<=0.38, dsa_trade<=0.55, bb_width<=0.2, bb_pos in [0.4, 0.8], rope<=0.9, weekly=soft, trigger=none"
19,structure,埋伏型,none,19,-0.00188,0.4211,-0.031,-0.06221,2.067,"dsa_confirmed<=0.38, dsa_trade<=0.45, bb_width<=0.24, bb_pos in [0.4, 0.95], rope<=0.9, weekly=soft, trigger=none"
20,structure,埋伏型,none,19,-0.00188,0.4211,-0.031,-0.06221,2.067,"dsa_confirmed<=0.38, dsa_trade<=0.55, bb_width<=0.24, bb_pos in [0.4, 0.95], rope<=0.9, weekly=soft, trigger=none"
