removed_feature,baseline_ic,ablated_ic,ic_drop
dist_to_rope_atr,0.0512,0.0444,0.0068
score_freshness_total,0.0512,0.0512,0.0
rope_dir,0.0512,0.0512,0.0
rope_slope_atr_5,0.0512,0.0542,-0.003
upper_wick_ratio,0.0512,0.0585,-0.0073
vol_zscore,0.0512,0.0599,-0.0087
score_volume_total,0.0512,0.0619,-0.0107
score_candle_total,0.0512,0.0697,-0.0185
high_break_flag,0.0512,0.0722,-0.021
n_high_levels_broken,0.0512,0.0724,-0.0212
breakout_quality_score,0.0512,0.0731,-0.0219
vol_record_days,0.0512,0.0745,-0.0233
breakout_watch_flag,0.0512,0.0746,-0.0234
ret_t1,0.0512,0.0759,-0.0247
score_trend_total,0.0512,0.0779,-0.0267
body_to_range,0.0512,0.0802,-0.029
dir_consistent,0.0512,0.0822,-0.031
range_width_atr,0.0512,0.0839,-0.0327
position_in_structure,0.0512,0.087,-0.0359
bull_pct,0.0512,0.0896,-0.0384
delta_pct,0.0512,0.0942,-0.043
close_pos,0.0512,0.1142,-0.0631
