fold,train_size,test_size,ic,rank_ic,mae,rmse
1,730,180,0.2069722408247727,0.47335639626008363,0.009281891366703706,0.020983331711213735
2,11298,180,0.1746615888516543,0.4989079290702013,0.010740092740927687,0.021117066698662257
3,21866,180,0.1579448360189193,0.04638983803746991,0.04961902974547808,0.06596964010439652
4,32434,180,0.024001760930843292,0.16837384323730126,0.035620971964343,0.13259954639853694
5,43002,180,0.10390915691583175,0.22536818284938875,0.08187103730077205,0.13330619520002415
6,53570,180,0.1890399364882748,0.3625357710558689,0.05329870559428285,0.06797346047132993
7,64138,180,0.018962356266014366,0.0147333277787585,0.0744774185005736,0.13172238739599776
8,74706,180,0.004271201832295903,0.022272292354702305,0.052978742094665264,0.06954894381436552
9,85274,180,-0.09788869342970449,-0.07947745633262185,0.09638352407421884,0.24976632152122688
10,95842,180,0.2952135977020153,0.2782431556529522,0.042080016268302725,0.058426636145434
