feature,mean_abs_shap,mean_shap
ret_t1,0.09812647633409055,-0.008117079174536216
position_in_structure,0.01508773388927448,0.0022685740385077337
dir_consistent,0.013536368454686993,0.006283678708107468
score_trend_total,0.010861546845871409,-0.001491131620002193
range_width_atr,0.003967439973780745,0.00022636505958780617
score_volume_total,0.0039040874558337883,0.001536257819062609
rope_slope_atr_5,0.0016254176652407892,-0.0002476267142793661
vol_record_days,0.0016224981245729464,-3.933435881261928e-05
breakout_quality_score,0.000947585855640688,7.2076215524177216e-06
close_pos,0.0005685543882714462,-9.087356015865282e-05
n_high_levels_broken,0.0004090393716837725,-8.786487004760948e-05
high_break_flag,0.00039743748707937276,-8.537269410162025e-05
upper_wick_ratio,9.628874145032045e-05,-3.192285644488115e-05
breakout_watch_flag,0.0,0.0
vol_zscore,0.0,0.0
delta_pct,0.0,0.0
score_freshness_total,0.0,0.0
score_candle_total,0.0,0.0
rope_dir,0.0,0.0
bull_pct,0.0,0.0
dist_to_rope_atr,0.0,0.0
body_to_range,0.0,0.0
