dsa_thr,bars_thr,vwap_thr,event_n,n,ret_20,mae_20,wr_20,rr_20,ret_40,mae_40,wr_40,rr_40,ret_rank,rr_rank
0.35,2,-1.0,36,36,0.01611,-0.09022,0.6389,0.179,0.01586,-0.12808,0.3889,0.124,1.0,1.0
0.4,2,-1.0,41,41,0.01546,-0.09102,0.5854,0.17,-0.00327,-0.13271,0.3415,-0.025,2.0,2.0
0.35,2,-2.0,33,33,0.01249,-0.09293,0.6364,0.134,0.01614,-0.12828,0.3939,0.126,3.0,3.0
0.35,3,-2.0,41,41,0.0117,-0.09369,0.5854,0.125,-0.00427,-0.13172,0.3902,-0.032,4.0,4.0
0.4,5,none,72,72,0.00971,-0.08489,0.5278,0.114,-0.01408,-0.13213,0.3611,-0.107,5.0,5.0
0.4,2,-2.0,36,36,0.00947,-0.09564,0.5556,0.099,0.00886,-0.13621,0.3333,0.065,6.0,6.0
0.35,2,none,44,44,0.00747,-0.09264,0.6136,0.081,-0.01538,-0.13642,0.3409,-0.113,7.0,7.0
0.3,3,-2.0,34,34,0.00618,-0.09431,0.6471,0.066,-0.01176,-0.13891,0.3529,-0.085,8.0,8.0
0.3,3,-1.0,36,36,0.00575,-0.09332,0.6389,0.062,-0.0128,-0.14145,0.3611,-0.09,9.0,9.0
0.4,3,-2.0,45,45,0.00454,-0.09578,0.5111,0.047,-0.01079,-0.12829,0.3556,-0.084,10.0,10.0
0.35,3,-1.0,42,42,0.00085,-0.09848,0.5714,0.009,-0.00726,-0.13204,0.4048,-0.055,11.0,11.0
0.3,3,none,46,46,0.00018,-0.09923,0.5652,0.002,-0.03771,-0.14754,0.3261,-0.256,12.0,12.0
0.35,5,none,62,62,9e-05,-0.08373,0.5484,0.001,-0.03476,-0.14346,0.3226,-0.242,13.0,13.0
0.3,2,-2.0,31,31,-0.00021,-0.09204,0.6452,-0.002,-0.01621,-0.14295,0.3548,-0.113,14.0,14.0
0.35,5,-1.0,52,52,-0.00044,-0.08553,0.5385,-0.005,0.00195,-0.12717,0.3846,0.015,15.0,15.0
0.3,5,-1.0,47,47,-0.00054,-0.08819,0.5957,-0.006,-0.01847,-0.14041,0.3404,-0.132,16.0,16.0
0.3,2,-1.0,32,32,-0.00175,-0.09483,0.625,-0.018,-0.01792,-0.14631,0.3438,-0.122,17.0,17.0
0.3,5,-2.0,43,43,-0.00197,-0.08943,0.5814,-0.022,-0.02631,-0.14455,0.3256,-0.182,18.0,18.0
0.4,3,none,58,58,-0.00207,-0.09266,0.4828,-0.022,-0.019,-0.13481,0.3448,-0.141,19.0,18.0
0.35,3,none,51,51,-0.00483,-0.09151,0.4902,-0.053,0.00092,-0.13485,0.4314,0.007,20.0,19.0
0.3,2,none,37,37,-0.00614,-0.09751,0.5676,-0.063,-0.06381,-0.16133,0.2432,-0.396,21.0,20.0
0.4,5,-1.0,55,55,-0.00946,-0.09379,0.4545,-0.101,-0.01555,-0.13722,0.3091,-0.113,22.0,21.0
0.35,5,-2.0,49,49,-0.00983,-0.09196,0.5102,-0.107,-0.00894,-0.13062,0.3469,-0.068,24.0,22.0
0.3,5,none,55,55,-0.00966,-0.08934,0.5273,-0.108,-0.02886,-0.14822,0.3636,-0.195,23.0,23.0
0.4,2,none,49,49,-0.01299,-0.11272,0.4898,-0.115,-0.02475,-0.1518,0.3265,-0.163,25.0,24.0
0.4,3,-1.0,49,49,-0.01414,-0.10309,0.4694,-0.137,-0.01932,-0.13495,0.3469,-0.143,26.0,25.0
0.4,5,-2.0,55,55,-0.01418,-0.09435,0.4545,-0.15,-0.01188,-0.13356,0.3455,-0.089,27.0,26.0
