bb_pos_thr,vwap_dev_lo,dsa_pos_hi,event_n,n,ret_5,mae_5,wr_5,rr_5,ret_10,mae_10,wr_10,rr_10,ret_20,mae_20,wr_20,rr_20
0.18,-1.0,0.45,69,69,0.00353,-0.03299,0.4783,0.107,0.00606,-0.04921,0.5362,0.123,0.00956,-0.06913,0.5362,0.138
0.18,-0.5,0.45,50,50,-0.00369,-0.0354,0.42,-0.104,0.00043,-0.05375,0.5,0.008,0.00854,-0.07331,0.52,0.116
0.15,-0.5,0.45,46,46,-0.00405,-0.0347,0.4348,-0.117,-0.00841,-0.05358,0.5,-0.157,0.0041,-0.07607,0.5,0.054
0.15,-1.0,0.45,63,63,-0.00385,-0.03487,0.4603,-0.11,-0.00692,-0.05437,0.5079,-0.127,0.00315,-0.07408,0.5238,0.043
0.12,-1.0,0.45,53,53,-0.00375,-0.0344,0.5094,-0.109,-0.00934,-0.05391,0.4906,-0.173,-0.00452,-0.07799,0.4528,-0.058
0.12,-0.5,0.45,36,36,-0.00216,-0.03451,0.5,-0.062,-0.0082,-0.05328,0.5,-0.154,-0.00688,-0.08035,0.4167,-0.086
0.12,-1.0,0.65,245,245,-0.00192,-0.03952,0.4776,-0.049,-0.00202,-0.05866,0.4653,-0.035,-0.00777,-0.08634,0.4531,-0.09
0.12,-0.5,0.65,204,204,-0.00212,-0.04022,0.4559,-0.053,-0.00222,-0.05969,0.4706,-0.037,-0.00863,-0.08843,0.4412,-0.098
0.15,-1.5,0.45,99,99,-0.00715,-0.03961,0.4343,-0.18,-0.01183,-0.05756,0.4141,-0.206,-0.00828,-0.07771,0.4545,-0.107
0.18,-1.5,0.45,109,109,-0.00309,-0.03766,0.4312,-0.082,-0.00491,-0.05278,0.422,-0.093,-0.00839,-0.0742,0.4312,-0.113
0.12,-1.5,0.65,297,297,-0.00347,-0.03975,0.4545,-0.087,-0.00447,-0.05832,0.4444,-0.077,-0.0117,-0.08573,0.4276,-0.137
0.15,-0.5,0.65,247,247,-0.00112,-0.03839,0.4534,-0.029,-0.00526,-0.05823,0.4575,-0.09,-0.01215,-0.08743,0.4211,-0.139
0.15,-1.0,0.65,287,287,-0.00272,-0.03973,0.4495,-0.068,-0.00598,-0.05846,0.4495,-0.102,-0.01204,-0.08666,0.4355,-0.139
0.12,-1.5,0.45,82,82,-0.0051,-0.03657,0.4878,-0.139,-0.01235,-0.05288,0.4268,-0.233,-0.01123,-0.07476,0.4268,-0.15
0.18,-1.0,0.65,324,324,-0.00094,-0.03927,0.4568,-0.024,-0.0015,-0.05855,0.4506,-0.026,-0.01332,-0.08828,0.4259,-0.151
0.15,-1.5,0.65,344,344,-0.00354,-0.04066,0.4448,-0.087,-0.00777,-0.05996,0.4302,-0.13,-0.01574,-0.08847,0.4128,-0.178
0.18,-1.5,0.65,383,383,-0.00221,-0.04058,0.4439,-0.055,-0.00489,-0.06084,0.423,-0.08,-0.01615,-0.09013,0.4073,-0.179
0.18,-0.5,0.65,279,279,-0.00172,-0.03817,0.4373,-0.045,-0.00785,-0.05831,0.4409,-0.135,-0.01896,-0.0896,0.4194,-0.212
0.15,-0.5,0.55,134,134,-0.00637,-0.03991,0.4552,-0.16,-0.01166,-0.05803,0.4104,-0.201,-0.01939,-0.0882,0.4179,-0.22
0.18,-1.0,0.55,195,195,-0.00542,-0.04094,0.4513,-0.132,-0.00751,-0.05862,0.3846,-0.128,-0.0212,-0.08989,0.3949,-0.236
0.12,-1.5,0.55,195,195,-0.00479,-0.03885,0.4564,-0.123,-0.00884,-0.05676,0.4205,-0.156,-0.02004,-0.08361,0.3897,-0.24
0.15,-1.5,0.55,225,225,-0.00744,-0.04137,0.44,-0.18,-0.01141,-0.05892,0.3867,-0.194,-0.02191,-0.0866,0.4,-0.253
0.12,-1.0,0.55,147,147,-0.00573,-0.03993,0.4694,-0.143,-0.01024,-0.05979,0.4354,-0.171,-0.02262,-0.08917,0.3878,-0.254
0.18,-1.5,0.55,250,250,-0.00626,-0.04086,0.432,-0.153,-0.00857,-0.05842,0.368,-0.147,-0.02259,-0.08812,0.372,-0.256
0.18,-0.5,0.55,150,150,-0.00482,-0.03905,0.4467,-0.123,-0.01376,-0.05729,0.38,-0.24,-0.0228,-0.08918,0.4133,-0.256
0.15,-1.0,0.55,174,174,-0.00754,-0.04128,0.454,-0.183,-0.01285,-0.0593,0.4023,-0.217,-0.02308,-0.08934,0.4138,-0.258
0.12,-0.5,0.55,108,108,-0.00638,-0.03988,0.4537,-0.16,-0.01008,-0.05915,0.4537,-0.17,-0.02433,-0.09069,0.3796,-0.268
