所属维度,因子名,中文名,原始值,分数,方向,权重,是否主模型
利润质量,q_cfo_to_np_parent,单季经营现金流/归母净利润,1.0861704832144286,66.66666666666666,higher_better,0.06,是
利润质量,ttm_cfo_to_np_parent,TTM经营现金流/TTM归母净利润,0.7974546875200632,50.0,higher_better,0.05,是
利润质量,q_accruals_to_assets,单季应计项/平均总资产,-0.0014371139414798833,58.33333333333333,lower_better,0.05,是
利润质量,ttm_cfo_to_ebit,TTM经营现金流/TTM EBIT,,,higher_better,0.02,否
利润质量,q_np_parent_to_np,单季归母净利润/净利润,0.9054961929220966,83.33333333333334,higher_better,0.01,否
现金创造能力,q_cfo_to_rev,单季经营现金流/收入,0.07426023820726935,75.0,higher_better,0.04,是
现金创造能力,ttm_fcf_to_np_parent,TTM自由现金流/TTM归母净利润,,,higher_better,0.04,是
现金创造能力,q_cfo_yoy,单季经营现金流同比,1.4522865726742304,75.0,higher_better,0.03,是
现金创造能力,ytd_cfo_yoy,累计经营现金流同比,0.9403963997294206,91.66666666666666,higher_better,0.03,是
现金创造能力,capex_to_cfo,TTM资本开支/TTM经营现金流,0.8126550816223995,66.66666666666667,lower_better,0.02,否
现金创造能力,cash_sales_ratio,销售收现比,0.7604021775570424,66.66666666666666,higher_better,0.02,否
现金创造能力,cash_sales_yoy,销售收现同比,0.37587741860473817,91.66666666666666,higher_better,0.01,否
盈利能力,q_gross_margin,单季毛利率,0.2285115677912103,91.66666666666666,higher_better,0.05,是
盈利能力,q_gm_yoy_change,单季毛利率同比变化,0.08097985281507025,91.66666666666666,higher_better,0.04,是
盈利能力,q_op_margin,单季营业利润率,0.08499830813819237,83.33333333333334,higher_better,0.04,是
盈利能力,q_np_parent_margin,单季归母净利率,0.06836886046424548,91.66666666666666,higher_better,0.02,是
盈利能力,q_gm_qoq_change,单季毛利率环比变化,0.012416237392805063,66.66666666666666,higher_better,0.01,否
盈利能力,op_margin_change,单季营业利润率同比变化,0.06378288148266927,91.66666666666666,higher_better,0.01,否
盈利能力,q_ebit_margin,单季EBIT利润率,,,higher_better,0.01,否
规模与增长,q_op_yoy,单季营业利润同比,4.744734390701479,100.0,higher_better,0.05,是
规模与增长,q_rev_yoy,单季营业收入同比,0.433875494594996,100.0,higher_better,0.04,是
规模与增长,q_np_parent_yoy,单季归母净利润同比,4.666923235411441,100.0,higher_better,0.04,是
规模与增长,ytd_rev_yoy,累计营业收入同比,0.2470136760481782,100.0,higher_better,0.03,是
规模与增长,ytd_np_parent_yoy,累计归母净利润同比,3.1028058917997425,100.0,higher_better,0.03,是
规模与增长,q_ebit_yoy,单季EBIT同比,,,higher_better,0.02,否
规模与增长,q_rev_qoq,单季营业收入环比,0.100806074192763,66.66666666666666,higher_better,0.01,否
规模与增长,q_op_qoq,单季营业利润环比,0.08839766220812917,58.333333333333336,higher_better,0.01,否
资产效率与资金占用,roa_parent,归母ROA,0.07850952598170878,100.0,higher_better,0.04,是
资产效率与资金占用,cfo_to_assets,经营现金流/总资产,0.06260778950909185,91.66666666666666,higher_better,0.04,是
资产效率与资金占用,asset_turnover,总资产周转率,0.8585880972600656,25.0,higher_better,0.02,否
资产效率与资金占用,ccc,现金转换周期,,,lower_better,0.02,否
资产效率与资金占用,contract_liab_to_rev,合同负债/收入,,,higher_better,0.01,否
边际变化与持续性,trend_consistency,趋势连续性,66.66666666666666,100.0,higher_better,0.04,是
边际变化与持续性,q_rev_yoy_delta,单季收入同比变化,0.27318723527373345,83.33333333333334,higher_better,0.03,是
边际变化与持续性,q_np_parent_yoy_delta,单季归母净利润同比变化,2.184754601376781,91.66666666666666,higher_better,0.03,是
边际变化与持续性,profit_cash_sync,利润与现金流同步改善度,79.16666666666666,79.16666666666666,higher_better,0.01,否
边际变化与持续性,margin_profit_sync,毛利率与利润率同步改善度,91.66666666666666,91.66666666666666,higher_better,0.01,否
边际变化与持续性,cfo_to_np_change,经营现金流/归母净利润变化,-1.4238317398265732,50.0,higher_better,0.01,否
